epoch,learning_rate,train_loss,val_loss,pseudo_dice,epoch_time_s,ema_pseudo_dice
207,0.00812,-0.4927,-0.5446,0.7738,218.11,
208,0.00811,-0.5256,-0.4945,0.7413,217.91,
209,0.0081,-0.5356,-0.4475,0.7269,218.33,
210,0.00809,-0.5499,-0.5435,0.802,218.23,
211,0.00808,-0.5575,-0.5462,0.8408,217.99,
212,0.00807,-0.5353,-0.5387,0.7732,218.25,
213,0.00806,-0.5661,-0.5526,0.7917,217.88,
214,0.00805,-0.555,-0.5876,0.807,217.98,
215,0.00804,-0.5633,-0.5521,0.7537,218.01,
216,0.00803,-0.5257,-0.5182,0.7655,218.68,
217,0.00802,-0.5412,-0.5604,0.8084,218.51,
218,0.00801,-0.5324,-0.5242,0.7857,218.26,
219,0.00801,-0.5229,-0.48,0.7826,218.41,
220,0.008,-0.529,-0.5449,0.807,217.65,
221,0.00799,-0.5367,-0.5105,0.7566,218.44,
222,0.00798,-0.5492,-0.5717,0.8209,218.76,
223,0.00797,-0.5625,-0.5599,0.7915,218.12,
224,0.00796,-0.5319,-0.5538,0.8145,218.3,
225,0.00795,-0.57,-0.5963,0.7963,218.16,
226,0.00794,-0.548,-0.5233,0.7934,217.89,
227,0.00793,-0.541,-0.5242,0.7608,218.15,
228,0.00792,-0.5366,-0.5498,0.7542,218.52,
229,0.00791,-0.5094,-0.474,0.7301,218.34,
230,0.0079,-0.5227,-0.4657,0.7164,219.07,
231,0.00789,-0.5506,-0.5317,0.73,217.8,
232,0.00789,-0.5627,-0.5204,0.7632,217.71,
233,0.00788,-0.5425,-0.5301,0.7805,218.43,
234,0.00787,-0.5515,-0.5932,0.787,218.21,
235,0.00786,-0.5476,-0.5886,0.8032,218.35,
236,0.00785,-0.5574,-0.5191,0.8206,219.19,
237,0.00784,-0.5526,-0.5074,0.7965,218.87,
238,0.00783,-0.5524,-0.5361,0.776,219.1,
239,0.00782,-0.5516,-0.5002,0.7139,219.66,
240,0.00781,-0.5427,-0.56,0.791,219.07,
241,0.0078,-0.5512,-0.5205,0.7922,218.84,
242,0.00779,-0.5363,-0.5698,0.7519,218.23,
243,0.00778,-0.5439,-0.5238,0.7739,218.34,
244,0.00777,-0.5704,-0.5369,0.7758,218.66,
245,0.00777,-0.5713,-0.5515,0.757,218.42,
246,0.00776,-0.5742,-0.5257,0.8116,219.62,
247,0.00775,-0.5513,-0.5496,0.7944,218.05,
248,0.00774,-0.5597,-0.5117,0.7622,219.77,
249,0.00773,-0.5888,-0.4952,0.7729,218.14,
250,0.00772,-0.5403,-0.4996,0.7658,217.82,
251,0.00771,-0.5563,-0.5176,0.7604,218.51,
252,0.0077,-0.5862,-0.5493,0.8248,217.7,
253,0.00769,-0.5706,-0.6045,0.8123,218.65,
254,0.00768,-0.5424,-0.565,0.7724,218.39,
255,0.00767,-0.5515,-0.5645,0.8179,218.63,
256,0.00766,-0.5749,-0.4956,0.7594,217.77,
257,0.00765,-0.5544,-0.5132,0.7734,218.17,
258,0.00764,-0.5691,-0.6032,0.8269,218.49,
259,0.00764,-0.5616,-0.5359,0.7983,217.89,
260,0.00763,-0.5786,-0.5932,0.8217,219.09,0.790700018
261,0.00762,-0.5641,-0.5818,0.822,218.6,0.793799996
262,0.00761,-0.5463,-0.5723,0.7878,217.89,
263,0.0076,-0.5158,-0.5242,0.7488,218.91,
264,0.00759,-0.566,-0.5628,0.7624,218.48,
265,0.00758,-0.5458,-0.5558,0.7981,218.18,
266,0.00757,-0.5534,-0.4952,0.763,217.93,
267,0.00756,-0.5353,-0.4924,0.7268,217.94,
268,0.00755,-0.5373,-0.5772,0.7862,218.26,
269,0.00754,-0.5444,-0.5845,0.8022,218.18,
270,0.00753,-0.5462,-0.5823,0.7967,217.92,
271,0.00752,-0.5836,-0.551,0.8202,218.91,
272,0.00751,-0.5545,-0.5517,0.7934,217.86,
273,0.00751,-0.5299,-0.512,0.7778,218.32,
274,0.0075,-0.5347,-0.5368,0.7583,218.44,
275,0.00749,-0.5476,-0.5817,0.8228,218.12,
276,0.00748,-0.5362,-0.5527,0.7868,217.97,
277,0.00747,-0.5534,-0.5603,0.8311,218.8,
278,0.00746,-0.5772,-0.5731,0.789,217.92,
279,0.00745,-0.5576,-0.5521,0.7629,218.27,
280,0.00744,-0.5369,-0.5565,0.7881,218.6,
281,0.00743,-0.5306,-0.5682,0.7615,217.82,
282,0.00742,-0.5401,-0.5578,0.8001,218.91,
283,0.00741,-0.564,-0.5976,0.8257,218.2,
284,0.0074,-0.5815,-0.6001,0.7824,218.4,
285,0.00739,-0.5697,-0.52,0.7917,218.33,
286,0.00738,-0.5489,-0.602,0.7963,219.1,
287,0.00738,-0.5553,-0.5497,0.8017,218.6,
288,0.00737,-0.5614,-0.6053,0.8187,218.2,0.794799984
289,0.00736,-0.5808,-0.5476,0.8094,219.3,0.796299994
290,0.00735,-0.5653,-0.5909,0.7757,218.41,
291,0.00734,-0.5823,-0.5798,0.8056,218.39,
292,0.00733,-0.5694,-0.5821,0.7626,218.8,
293,0.00732,-0.5593,-0.5713,0.7991,218.23,
294,0.00731,-0.5766,-0.6007,0.8017,218.37,
295,0.0073,-0.5607,-0.5491,0.7907,218.44,
296,0.00729,-0.5576,-0.5468,0.7913,218.26,
297,0.00728,-0.5484,-0.5787,0.7619,218.19,
298,0.00727,-0.5322,-0.5776,0.8189,218.58,
299,0.00726,-0.5827,-0.5567,0.7677,218.85,
300,0.00438,-0.5477,-0.5405,0.793,232.68,
301,0.00436,-0.5821,-0.5142,0.7729,228.91,
302,0.00434,-0.5978,-0.5986,0.8266,218.31,
303,0.00432,-0.6012,-0.5973,0.811,218.46,
304,0.0043,-0.5687,-0.5413,0.7887,218.23,
305,0.00429,-0.5763,-0.6129,0.8475,218.61,0.799300015
306,0.00427,-0.5764,-0.644,0.8536,218.82,0.804700017
307,0.00425,-0.6086,-0.5597,0.8238,219.09,0.806599975
308,0.00423,-0.6043,-0.6226,0.8123,218.66,0.807200015
309,0.00421,-0.608,-0.6274,0.8009,218.93,
310,0.00419,-0.6064,-0.6062,0.8237,218.84,0.808300018
311,0.00417,-0.6326,-0.611,0.8208,219.08,0.809499979
312,0.00415,-0.576,-0.5459,0.8137,219.12,0.809899986
313,0.00413,-0.6028,-0.6016,0.8373,219.57,0.812699974
314,0.00411,-0.6161,-0.5347,0.8019,220.57,
315,0.00409,-0.5931,-0.5956,0.8054,219.01,
316,0.00407,-0.608,-0.5846,0.8337,221.91,0.813300014
317,0.00405,-0.6022,-0.5653,0.8183,220.55,0.813799977
318,0.00403,-0.5806,-0.649,0.8106,220.85,
319,0.00401,-0.5947,-0.5481,0.7786,219.35,
320,0.00399,-0.5892,-0.5462,0.7811,219.28,
321,0.00397,-0.5792,-0.5535,0.7817,218.86,
322,0.00395,-0.5942,-0.5727,0.804,220.41,
323,0.00393,-0.5875,-0.5995,0.7808,219.34,
324,0.00391,-0.6075,-0.54,0.7842,219.67,
325,0.00389,-0.6038,-0.5909,0.8183,220.43,
326,0.00387,-0.6013,-0.6085,0.7946,219.45,
327,0.00385,-0.6032,-0.6161,0.8055,219.18,
328,0.00383,-0.5859,-0.5956,0.8089,219.15,
329,0.00381,-0.5884,-0.6014,0.8297,218.37,
330,0.00379,-0.6293,-0.6177,0.864,218.87,
331,0.00377,-0.5813,-0.6012,0.8156,219,
332,0.00375,-0.5921,-0.5975,0.8435,219.05,0.814700007
333,0.00373,-0.6079,-0.5595,0.8056,219.08,
334,0.00371,-0.5945,-0.5506,0.8001,217.99,
335,0.00369,-0.6083,-0.6143,0.8622,218.57,0.817399979
336,0.00367,-0.5988,-0.5374,0.7886,219.23,
337,0.00365,-0.5961,-0.6023,0.7774,218.81,
338,0.00363,-0.5847,-0.6126,0.8296,218.79,
339,0.00361,-0.6023,-0.6162,0.8241,218.36,
340,0.00359,-0.595,-0.5247,0.7795,218.83,
341,0.00357,-0.6061,-0.5902,0.8193,219.4,
342,0.00355,-0.6243,-0.5809,0.8237,219.27,
343,0.00353,-0.6111,-0.567,0.8156,219.69,
344,0.00351,-0.6167,-0.6351,0.8544,218.82,
345,0.00349,-0.6143,-0.5524,0.8213,219.33,
346,0.00346,-0.5924,-0.5867,0.782,218.49,
347,0.00344,-0.628,-0.5972,0.7846,218.47,
348,0.00342,-0.6179,-0.5788,0.8167,219.05,
349,0.0034,-0.6082,-0.5661,0.834,218.62,
350,0.00338,-0.6038,-0.6176,0.8054,219.47,
351,0.00336,-0.614,-0.5909,0.7795,218.59,
352,0.00334,-0.6207,-0.5655,0.828,218.99,
353,0.00332,-0.6138,-0.5878,0.8314,220.08,
